aagę	she did say
ǫtgahiˀdahkwaˀ	a toy; (literally: children play with it)
ǫtgahiˀdahkwaˀ gani:yǫ:t	mobile (hanging toy)
ǫtgahiˀtaˀ	what she plays with; a toy
otgahnǫnihsraˀ	wealth
otgahnyedahkwaˀ onǫhsǫt	gym
ǫtgahowe:ktaˀ	eye patch
ǫtgahtwahtaˀ	something that misses the eye
oˀtgaiˀni:	it is noisy, loud
otganǫ:ni:	prosperity
ǫtga:nǫ:ni:	it is precious
otga:nǫ:nih	it is rich
otganǫnihsraˀ	richness, wealth
otganǫnyaˀt	wealth; it is rich
otgę:	it is rotten; decayed; spoilage
ǫtgeˀ ataˀtkwaˀ	hair dryer
ǫtgeˀ ędędahkwaˀ	hair brush
otgeˀahsrǫnyˀataˀ	hair brush
ǫtgeˀęhdahkwaˀ	hair brush
ǫtgehaˀsrǫ:niˀ	she fixes her own hair
ǫtgehdahstaˀ	scarf, bib
otgęhjihsdǫhǫgyeˀ	it is getting old or aging
ǫtgehǫdahkwaˀgeh	plaza
ǫtgęnihsˀahtaˀgeh	meeting room
ǫtge:owe:ktaˀ	hair net
otgiˀ	it is ugly, dirty, soiled
otgǫˀ	it is strong or ominous (medicine)
otgoˀa:ˀ	wampum
otgoˀdaˀ	sumac
otgoˀdaˀ ohyaˀ	elderberry
ǫtgǫhsahsohtaˀshǫ:ˀǫh	make-up items
ǫtgǫhsahsohtaˀshǫ:ˀǫh eyahkwaˀ	make-up bag
otgǫhsgwaˀtroˀ	a window
ǫtgǫhsohai:	she is washing her face
ǫtgǫhsohaiˀtaˀ	face cloth
ǫtgǫhstǫˀęhdahkwaˀ	razor
ǫtgǫhstǫˀęhdahkwaˀ ohęnˀatraˀ	razor blade
ǫtgoˀjonyahtaˀ	make-up, blush, rouge
otgǫˀshǫ:ǫh	things with evil power
otgǫˀtraˀ	ominous medicine
ǫtgǫˀtrahahkwaˀ	scale (weigh)
ǫtgǫˀtraniyǫdahkwaˀ	scale (weights used to balance)
otgǫˀtraˀsǫ:ˀǫh	object used for witchcraft
otgrihsrǫˀ	wrinkled clothes; it is wrinkled up
otgwa:dǫˀ	it is woven, in and out
otgwęhjˀia:ˀ	red
otgwęhjˀiaˀ okdehowa:nęˀs	beets
otgwęhjˀiaˀ otgoˀdaˀ	red sumac
otgwęhjˀia:ji:	maroon , dark red
othnakdagǫ:nyǫhs 	important , prestigious seat or place
ǫ:thnasǫdahkwaˀ	skin cream
othnegahdę:gyǫ:	flowing water
othnegoda:gwęh	splashing water
ǫthnǫdahstaˀ	she, someone is put in there all the time
ǫthnǫda:sdahkwaˀgeh	gas station
ǫthnǫhsodahkwaˀ	umbrella
otjihsdagę:t	cattail
ǫtnaˀdaǫ:dahkwaˀ	bread pan
ǫtnahdodahkwaˀ	hair combs
ǫtnahtaˀ	oil (for the bath)
otnakdagǫnyǫhsgeh	an important or higher place
otnegada:se:	whirlpool
ǫtnegahni:nǫh	bar (bootlegger)
ǫtnęhęhsdahkwaˀ	a yoke
ǫtnehgahninǫhsgeh	hotel, pub, bar, saloon
ǫtnǫˀaohai:ˀ	she did wash her head
ǫtnǫˀaohai:s	she is washing her head
ǫtnǫˀao:haiˀtaˀ	shampoo
ǫtnǫˀao:wektaˀ	kerchief
ǫtnǫhahahkwaˀ	wig
otnǫhahe:ˀ	it has a wig on
ǫtnoˀjohai:	she is brushing her teeth
ǫtnoˀjohaiˀdahkwaˀ	toothpaste
ǫtnoˀjohaiˀtaˀ	toothbrush
ǫtnoˀjonyaˀtaˀ	teething ring
ǫtǫ:da:s	she is obedient
otǫdǫnyahnǫˀ	growing bushes, saplings
otǫgai:	it is stiff; rigor mortis
oto:weˀ	it is cold (weather)
otowˀegeh	North
otowegeh tgajihsdǫda:haˀ	North Star, Polaris
otowegeha:ˀ	Northern Dance
otoweˀgehneh	North place
otowegeho:nǫˀ	Inuit, Eskimo
otowinyǫˀse:	it has a cold
ǫtǫwisadahkwaˀ gahsdawˀędraˀ	box turtle rattle
ǫtǫwi:sas	Seed Songs (for women)
otragwęˀdaˀ	flint (stone)
otręˀdaˀ	housefly, fly
otręˀdago:wah	horsefly
ǫtrǫnyahneˀsgęhę:ˀ	she used to tell
ǫtsaˀ	knee
otsa:daˀ	fog, steam, mist
otsadęˀǫh	it is damp
otsa:do:t	there is fog
otsa:do:t dega:dęh	jet, plane
otsahnihk	it is frightening, scary
otsahniht	it is a smart worker
ǫtsanǫhwa:s	it has a sore knee
otseˀdaˀ ohyaˀ	pear
otseˀdaˀ ohyaˀ grahe:t	pear tree
otseˀdo:t	hubbard squash
otsęhde:ˀ	it is tiring
otsehsdaˀ	syrup, honey, gum
otsehsdae:ˀ	it is sticky
otsęnǫnyaˀt	a happy feeling; gratefulness, thankfulness, joy
otsgęˀę:ˀ	peach pit
otsgoˀdaˀ	balsam fir
otsgraˀ	saliva, spit, sputum
otshestadǫda:s	Tree or Sap Dance
otsihsdęˀǫh	it is numb
otsihshę:	it is at a mature state
otsihshęˀǫh	it is numb
otsihsˀǫh	it is done for the season; it has gone full cycle; it is mature; they (plants) have finished out
otsihsˀǫhǫ:gyeˀ	it is getting mature
otsinhahǫˀ	Gartered Dance
ǫtsinhahstaˀ	garters, leg band
otsinǫhgęˀdaˀ	charm society, charm
otsogwahdaˀ	pipe (for tobacco) 
ǫtsohihs	she bites it
ǫtwadaseˀtaˀ	Round Dance
ǫtwahǫdahkwaˀ	roasting pan
otwęhsaˀ	liver
otwihsdonyaˀt	profit
o:wa:ˀ	air, wind; a moth
owa:dai:hę:	warm wind
owadanǫhwa:s	it has a sore heel
owa:deˀ	windy; wind; it is a breeze
owa:de:gahs	it burns gas
owa:de:gahs ganǫhsadaihaˀtraˀ	gas stove
oˀwahade:nyǫˀ	muscles
oˀwahagahdeh	raw meat
oˀwahagaˀǫh	the meat is delicious
oˀwahaga:yǫh	old meat
oˀwahahni:yǫh	tough meat
oˀwahahse:ˀ	fresh meat
oˀwahatę:	dry meat
oˀwahatgę:	spoiled meat
owahgwaǫnyǫˀ	spots
oˀwahi:yo:	good (tender) meat
oˀwahǫh	meat
oˀwahsdaˀ	clothespin
oˀwahsdǫdahkwaˀ	little sticks they make for a funeral
owajihsdaˀ	peelings, bark of a tree
owajihsdaˀ gahsdawˀędraˀ	bark rattle
owajihsdagǫ:	inner bark
ǫwa:ktaˀ	sifter, sieve
owaˀnęda:gǫh	it is stuck on something
owaˀnę:da:s	it sticks to it; it adheres to it
owa:no:	it is a cold wind
owa:nohsdǫh	it got cold (weather)
owaodǫˀ	Northern Lights, Aurora Borealis
owao:ni:	welts
owaˀwihsdaˀ	a peeling
owa:yaˀ	fin of a fish, wings
ǫ:weh	translation?; does not occur alone
owęhga:ˀ	wood chips
owę:naˀ	word, voice, speech
owę:naˀ hohsdihsdǫh	he is a language director
owęnadeht	harsh words
owęˀnaę:ˀ	Little Horses Dance; Strike the Stick
owęnaga:yǫh	high language, formal language
owęnahsęht	harsh words
owę:naˀshǫ:ˀǫh	words
owęnatgiˀ	ugly sounding voice
owęnǫhgre:s	tall weeds
owęnǫhgre:sǫˀs	tall weeds
owęnowaędagyeˀ	it is sinking
ǫwę:sętwahs węˀnho:tre:s	football
owi:draˀ	ice
owidradęhda:ˀ	ice patch
owidrageh	on the ice
owidrageh dehadijihgwaˀehs	hockey
owidrano:	ice cream
owidra:taˀ	butter
owi:dreˀ	ice patch
owidręhdaˀ	sleep, a dream
owidręhdagǫ:	it came through a dream
owi:droˀ	floating ice in the water; ice cubes
owidrǫgyǫ:	it is hailing; sleet
owihjih	it is overcooked
owi:yaˀ	young or offspring (i.e. of an animal); baby
owi:ya:ˀah	baby
owi:ya:ˀah deyǫgyˀadanhahstaˀ	baby's binder (to keep in the belly button)
owi:ya:ˀah deyǫtga:hǫhkwaˀ	baby's cradle
owi:ya:ah eksa:ah	baby girl
owi:ya:ˀah gadrehdagǫ: ǫgyędahkwaˀ	baby's car seat
owi:ya:ˀah godahditraˀ	baby's booties, socks
owi:ya:ˀah godaˀstaˀ	baby's sleeper, night gown
owi:ya:ˀah gogyaˀdawiˀtraˀ	baby's dress, sweater, coat
owi:ya:ˀah gohdahgwaˀ	baby's shoes
owi:ya:ˀah gohgwę:nyaˀ	baby's clothing
owi:ya:ˀah gohsdaˀwędraˀ	baby's rattle
owi:ya:ˀah gohsreka: gohgwę:nyaˀ	baby's snowsuit
owi:ya:ˀah gokwaˀ	baby's food
owi:ya:ˀah gokyędahkwaˀ	baby's highchair
owi:ya:ˀah gonahao:traˀ	baby's bonnet, hat
owi:ya:ˀah gonahdaˀ	baby's comb
owi:ya:ˀah gǫna:kdaˀ	baby's crib
owi:ya:ˀah gonǫˀgwaˀ	baby's formula
owi:ya:ˀah gonoha:ˀtraˀ	baby's soap
owi:ya:ˀah gotnaˀtsotraˀ	baby's pants
owi:ya:ˀah goyęhsraˀ	baby's blanket, quilt
owi:ya:ah haksa:ˀah	baby boy
owi:ya:ˀah ǫdeteˀtrahtaˀ	baby powder
owi:ya:ˀah ǫgyaˀdǫhaiˀtaˀ	baby's bathtub
owi:ya:ˀah ǫgyaˀdohaˀtaˀ	baby's bath table
owi:ya:ˀah ohnaˀgǫhka:ˀ gogyaˀdawiˀtraˀ	baby's undershirt
owi:ya:ˀah ǫninhęhęhkwaˀ	baby's potty chair
owi:ya:ˀah ǫnitsga:kwaˀ	baby's crib sheet
owi:ya:ˀah ǫtgahiˀdahkwaˀ	baby's toys
owi:ya:ˀah ǫtgehdahstaˀ	baby's bib
owi:ya:ˀah ǫtgǫhsohaiˀtaˀ	baby's face cloth
owi:ya:ˀah ǫthnǫdahstaˀ	baby carriage, stroller
owi:ya:ˀah ǫtnahtaˀ	baby oil
owi:ya:ˀah otnǫˀao:ha:taˀ	baby's shampoo
o:yaˀ	other; another
oˀyaˀ	female genitals; vagina
oyaˀ degyadǫdadrehk	last week; (literally: between weeks)
o:yaˀ dętgǫ:yǫˀ	I will give you a new one (i.e. replace something)
o:yaˀ dętsgǫˀ	you will give me another (i.e. replace)
o:yaˀ ni:yoht	different
oya:daˀ	basement, track, ditch
oyaˀdaˀ	a body
oyadageha:ˀ	Cherokee Stomp Dance
oyadˀageho:nǫˀ	Cherokee people
oyadagǫ:	in the track, in the basement, ditch, hole
oyadagyeˀ	gulley
oyaˀdahdani:	to rely (on someone, something)
oyaˀdatgiˀ	it is hideous, ugly
oyaˀdawa:dǫh	a righteous person
oya:deˀ	basement, track, ditch
oya:de:s	deep hole
oyaˀga:ˀ	a waist
oyahgwaˀ	pants
oyajih	another type
oyˀajiho:nǫˀ	different Indian people; stranger, alien
oyˀajiho:nǫˀ	different Indian people
oya:naˀ	tire; its track; anything that leaves tracks
oya:nreˀ	it is nice; good, beautiful
oyaǫˀdatgę:	a state of decomposition
oyę:ˀ	beads
oyę:daˀ	wood, firewood
oyę:daˀ ganǫhsadaihaˀtraˀ	wood stove
oyę:daˀ wadǫ:twahs	woodstove
oyę:deht	it is recognizable or plain to be seen, conspicuous
oyęˀgwa:ˀ	it is smoky; smoke
oyęˀgwaˀ	tobacco, cigarettes
oyęˀgwaˀ wadǫda:taˀ	tobacco pouch
oyęˀgwˀaǫweh	Indian tobacco (ceremonial, home-grown and not processed)
oyęhsa:ˀ	bandage
oyęhsraˀ	blankets
oyęhsraga:yǫh	old blanket
oyęhsrˀaǫ:weh	shawl (for dancing, or the type put on a corpse at a funeral)
oyęhsrase:	new blanket
oyęhsratgiˀ	ugly blanket
oyęhsri:yo:	nice blanket
oyęhsrowa:nęh	big blanket
oyǫˀdaˀ	a dead body, cadaver
oyǫdih	opossum
oyoˀgwaˀ	cheeks
oyǫ:gyaˀt	it is amusing, laughable
oyǫgyęni:	it is comical
oˀyohgo:t	attached skirt
oˀyohgwaˀ	skirt, tail, feather
oˀyo:tsaˀ	a chin
oyǫ:waˀ	guts, intestines
saˀahdrǫ:nih	you make baskets
sadagaideˀ	you are healthy
sadaˀgeho:t	you have an erection
sadagyadaˀs	you are opinionated
sadahgahsdǫ:	you endure!; go and cook in the cookhouse!
sadahgahstaˀ	you do endure
sadahgahstahk	you used to be able to endure
sadahgwaę:ˀ	store it, hold on to it temporarily!
sadahgwaę:hęˀ	you store things all the time
sadahǫ:dǫ:	ask! inquire!
sadahǫdǫhahk	you used to ask
sadahǫhdǫhsgǫ:	you are inquisitive
sadahsiˀdohai:ˀ	you wash your feet
sadahyahsęnǫnih	you preserve fruit!
sadaˀi:s	you have intercourse
sa:danǫhwa:s	you have a sore heel
sadatrihonyęh	read!
sadędǫnyaˀdǫh	you are joking
sadeˀdri:yohs	aim right; shoot straight!
sadeˀgwęhę:gyeˀs	you are avoiding
sadęhę:k	you are getting a sun tan
sadehsˀǫh/	Are you ready? (may come from Onondaga)
sadehsǫ:nih	you make a nest
sadehsręˀdǫ:ni:	glare! (make yourself look mad)
sadehsrǫnihsˀǫh	you are ready
sadehsrǫnyahnǫˀ onęh ęsę:daˀ	you get ready to go to bed
sadehstǫwi:staˀ	you hurt yourself all the time
sadehswahdahnǫ:	you (singular) sniff!
sadęhwihsdanihahda:nih	you lend money; a lender
sadejęhiyohs	make a good fire
sadejęhǫ:nih	make a fire
sadejiˀohgyak	you cut your nails
sade:kǫ:nih	you eat
sadeksadǫ:nih	you are immature, childish
sadęnˀatraˀ	your lunch
sadęnidęhtaˀ	you plead all the time
sadęˀnigǫhahni:ya:t	keep your mind strong
sadęniho:nǫˀ	your relatives on your (singular) father's side
sadenohae:	you are very clean
sadę:nohk	any relative (of yours)
sadenyagwaht	make yourself vomit!
sadeˀnyę:dęh	sample, try it!
sadeˀnyędęhsdǫhǫ:gyeˀ	you are trying as you go
sadęˀnyotaˀ	you celebrate all the time; you are celebrating
sadęˀnyotahk	you used to be a party-goer, you used to celebrate
sadesgehohae:	wash your lousy self
sadeˀsgǫ:dęh	you fry it, roast it!
sade:swaht	you smell it, sniff it!
sadeˀtsaˀdǫh	you are going along struggling
sadetsaˀtaˀ	you struggle all the time
sade:tsę:	you're greedy for food; you are a glutton
sadewayę:nǫ:nih	you care for it / things all the time
sadewayę:sdǫh	you are learning
sadohǫhdohai:ˀ	wash your ears
sadǫhtsohae	wash your knee
sadǫhweˀtso:taˀ	you do hand-stands all the time
sadǫhwidaˀdǫh	you are swinging
sadǫhwi:daˀt	you swing!
sadǫhwidaˀtaˀ	you swing (all the time); you're a swinger
sadǫhwidaˀtahk	you used to swing (long ago)
sadoˀne:k	get away, move away!
sadǫ:nhe:dǫh	you were born
sadǫnheˀtraˀ	your soul, heart, spirit
sadonyahnǫh	you move all the time
sadǫ:nyeˀs	you are breathing
sadowatah	you go and hunt right now!
sadǫ:wih	breathe!
sadrahehstaˀ	you are always going overboard; you are excessive
sˀadreh	you are driving
sadrę:nǫ:nih	you make a song
sadrihoˀda:t	you work
sadriho:wi:	you are a klutz; you're slow-moving; you are feeble, clumsy
sadrihwagehdeˀ	your responsibility (literally: it is hanging on you)
sadwędehtaˀ	you forfeit things all the time
sadwiya:nǫh	you babysit all the time; you are babysitting right now
sadwiyaǫ:gwahs	you adopt babies
sadye:nawahk	Hold Unto (Seneca Chief Title)
saęˀho:wa:ˀ	He is Biggest tree Top (Mohawk Chief Title)
saehwagę:nyaˀt	you will complain, you are a complainer
saehwahtsęnyahsgǫ:	you find faults
sae:yǫˀ	she returned
saga:dǫˀ	I became well again
sagadǫnhe:t	I am alive again
sagaę:s	you are willing
sagaesahtgaˀ	they released you (singular) again, fired you, let you go
sagaeyǫˀ	they (female or mixed group) returned
sagagahoˀjatęhs	the grass dried up
sagahaha:twaht	I missed the road
sagahdrǫni:	you are 'nosy' with your eyes (always looking); gape, stare!
sagahdrǫnihne:ˀ	you used to stare all the time
sagahdrǫ:nihs	you are staring at it
sagahdro:t	you are tearing (shedding tear-drops)
sagahehdaę:ˀ	you have dandruff
sagahgwa:ˀ	new moon
sagahgwaosˀah	your eyebrow
saganę:tǫ:gyeˀ	you are going along licking it
sa:gaˀs	you like the taste of it
saga:twaht	I missed it (a ball, etc.)
sagawa:nohs	it became cooler
sagawehagyeˀ	you are paddling along
sageˀa:ˀ	your hair
sageˀaˀgeh	on your hair
sage:dǫh	you are scraping something right now
sagęhędahgoh	remove the ashes out of it
saˀgęhneh	September (literally: cough month)
saˀgęhnehgo:wah	October (literally: big cough month)
sagęihstǫh	you have postponed it
sagę:na:ˀ	you have moles
sagęˀnhoˀtra:twaht	I missed the ball
sagodinǫhsonya:ni:	nursing home
sagohetsogoˀ	it tricked her (like the frog)
sagohewahtaˀ	The Punisher (the Devil)
sagǫhsaęˀ	you have a face
sagǫhsahni:yǫh	you are two-faced; you've got nerve! (literally: you've got a hard face)
sagǫhsatgiˀ	you have a dirty face
sagyaˀdanędagǫh	you (singular) cling to it! 
sagyaˀdawiˀdǫh	that's what clothing you have on
sagyaˀdawiˀtaˀ	you are always putting it on; you are doing it right now
sagyaˀdawiˀtraˀ	your coat, shirt, dress
sagyaˀdohai:	you take a bath; wash your body
sagyę:	you (singular) sit down!
sagyehsahtaˀ	you are wasteful
sagyęhsaǫ:	bandage yourself!
sagyˀena:waht	cling to it! hang on!
sagyenihdǫh	you have enough
sahahdę:diˀ	he went home
sahdaˀ	get full! (finish eating)
sahdo:	you dive
sahdo:k	grow! (not common)
sahdrǫˀk	be afraid! (non-sensical)
sahdrǫˀni:	you fraidy cat 
sahęnada:tre:waht	they (male) repented
sahga:gwahaˀ	go get some wood chips!
sahnatsage:dahs	you are scratching your behind
sahǫhdˀageh	on your ears
sahohdęhgyǫhǫgyeˀ	he is on his way home
sahǫ:kaˀ	doyou understand the language?
sahǫ:kahk	you used to understand (and talk)
sahǫwaditsgo:dęˀ	they re-elected him, them (male)
sahsda:hahk	you were crying
sahsdi:s	pay attention!
sahsdi:sdǫh	you are paying attention (right now)
sahsga:ne:s	you long for something
sahsiˀdˀageh	on your foot
sahsiˀdagrahs	your feet smell
sahsiˀdanǫhwa:s	you have a sore foot
sahwę:jaˀ	your land, property, real estate
sahwihsdaęˀ	you have money
saihoˀdeˀ	you are working
saihoˀdęhsraˀ	your work
saihwaˀ	your fault
saihwagwe:nyǫ:	you are able to perform (i.e run, dance, orate, etc.)
saihwahsrǫniha:gyeˀ	you are making up the rules as you go along
saihwˀane:gęh	you are praying; you have prayed
sajagǫˀǫhne:ˀ	you have persevered (in the past)
sajęhǫhsgwaęˀ	whisper!
sajia:ohoˀgwaˀ	your ankle
sajiˀdawiˀs	you are a cry-baby
sajiˀnǫge:wahs	you are blowing your nose
saˀjohai:	you wash your hands
sakǫ:ni:	you are cooking (right now)
sakwayędeǫ:	you are a good cook
sanaˀehs	your step-mother
sanahao:traˀ	your hat
sanahsgwaęˀ	you have a pet
sa:nędahtaˀ	hemlock
sanę:tsaˀ	your arm 
sanętsage:tsgoh	raise your arm
sanę:tse:s	your arm is long
sanę:tso:t	you have an arm; your attached arm
sˀanigǫhaędaˀs	you understand
saˀnigǫhaohe:k	gather your mind
saˀnigǫha:t	you are smart, brilliant
saˀnigǫhi:yo:	you have a good mind
saniˀǫh	you are stingy, greedy, cheap
saniˀǫhne:ˀ	you used to be stingy of it
sani:yǫ:t	you hung it up
sa:no:ˀ	raccoon
sa:no:ˀ wahya:s	gooseberry; (literally: a raccoon eats the berries)
sanǫˀa:ˀgeh	on your head
saˀnǫdanhęh	you are guilty
sˀano:drahs	you have a skin rash, running sores, weeping sores
sˀanodrahsdǫh	it has given you an infection, an allergic reaction; you have already had an allergic reaction
sanogeha:ˀ	Raccoon Dance
sano:ha:ah	your (singular) aunt
sanǫhsdeˀ	you value it; you are stingy
sanoˀjaˀ	your teeth
sanoˀje:s	your tooth is long
saˀnǫnheˀdraˀgeh	on your nipples
sanǫˀseh	you are lazy
saˀnyǫhsano:ˀ	you have a cold nose
saodihehtso:goˀ	frogs were fooled (i.e. they came out in the spring too early)
saǫhwę:jaˀ	your land, property, real estate
saǫhwęjahsgęnhęh	you are fighting over the land right now
saǫhyagę:	you (singular) groan!
saˀsaˀ	mockingbird, chatterbox
sasahdę:dih	go home!
sase:gri:k	you wrinkled it again
sasęhnihsgahsrǫnih	fix the wheel
sasehsrǫ:niˀ	you repaired it
sasehsrǫ:nih deyodewane:gaǫ:	fix the flat tire
sasęhtahk	you used to regret it
sasganeksǫh	you are longing for something
sasgęnhaˀseh	you are greedy
sasnęhdǫhǫgyeˀ	you are getting down from there right now
sasnęht	get down from there!
sasohdatgiˀ	you have dirty hands
saswaht	put the light out
saswęˀyǫhga:ˀgeh	on your thumb
sasyǫˀ	you returned home
satahineˀ	you are walking
satgahatgihdǫh	you are always giving dirty looks, you are giving dirty looks (right now)
satgahatoh	you (singular) roll over!
satgahdrǫnihs	you are staring at it; examining it closely
satgahnyeˀ	play!
satgahǫ:	pay attention!
satgahǫhaˀ	you are paying attention, watching right now
satgahtoh	you look
satgahtwahs	you look all the time
satgaǫniˀǫh	you are bereaved
satgao:t	you have a debt
satgaˀs	you forfeit, you let go of things all the time
satgaˀwahsgęhę:ˀ	you used to let go, you used to give up
satge:dǫh	you are scratching yourself
satgęh	you get up
satgehda:s	you put it around your neck all the time
satgehdataˀ	you put it around your neck all the time
satgehdǫh	you have it around your neck
satgeˀohae	wash your hair
satgiˀtraˀ	your junk
satgǫhsohae	wash your face
satgǫhsohai:	you wash your face
satgǫhsohaiˀ	you have washed your face
satgǫhstǫˀęht	you shave
satgǫhstwęˀęht	you shave
satgoˀjonyahnǫ:	beautify yourself, apply make-up!
satgǫ:nyohs	you are very clean
satgwęˀdaˀ	your wallet or purse
sathna:sǫ:	oil yourself
sathnatsotra:se:ˀ	you have new pants
satiyˀagǫh	you are holding a grudge right now
satiˀyahsgǫ:	you hold grudges; you get angry easily
satnaˀdaǫ:dęh	you bake bread!
satnaˀtsagę:nyeˀ	you are fidgety
satnǫˀaohae	wash your head
satnǫˀaohai:	you wash your head
satnoˀjanhǫ:dęh	put your teeth in!
satnoˀjohai:	brush your teeth
sa:tǫ:	you (singular) lie down!
satǫnadǫ:dęh	you bake potatoes!
satowinyǫˀse:	you have a cold
satrehnǫ:nih	you pack!
satrewahdǫh	you have been punished
satrewahtaˀ	you are being punished right now
satrǫ:nih	get dressed
satsahniht	you are overzealous, ambitious
satseˀdo:t	your belly button, navel
satse:nęˀ	your pet
satsgwe:k	shut up!
satsohih	bite it!
satwihsdaęˀ	you will reserve 
satwihsdanihahs	you lend money
satwihsdaniˀǫhs	you economize
satwihsdˀęda:s	you burn your money
satwihsdo:nyat	you profit
sawadahǫ:dǫ:ˀ	it asked again
saˀwa:dǫˀ	when it became; it became well again (i.e. it was sick)
sawadrihwatwahdahnǫ:ˀ	natural disasters
sawadriwaǫniˀ	it healed again
sawagǫh	I am sifting right now
sawahwaji:yaˀ	your family
sa:wa:ksǫh	you are winnowing, shaking, sifting right now
sawa:ktaˀ	you are a sifter
sa:wa:s	you are a winnower, shaker, sifter
sawayęnheˀsgǫ:	you are clever, educated
sa:węh	it is yours
sawęhnihsri:yohs	it became a nice day again
sawęhsga:ˀ	it spun out
sawęhsǫˀ	your belongings, property
sawęnadeht	you are a harsh-speaking person, you are smark-alecky
sawęnaˀehstaˀ	you stutter
sayaˀdahshęh	you are slow
sayaˀdahshęˀǫhǫgyeˀ	you are late
sayaˀdanędagǫh	your body is stuck to something
sayaˀdǫdaˀtaˀ	you are nervous, shaking, shivering
sayaˀdodrǫhgwaǫhaˀ	you are twitching (right now)
sayaˀdodrǫhgwaǫnihsgǫ:	you are always shivering
sa:ye:	you are awake
sayędehsgǫ:	you are always really good at it
sayędeˀǫh	you are really good at something
sayę:dǫˀ	you own something, your bonds
sayę:se:	you are skinning it right now
sayǫgyeˀni:	you have the giggles
sdaohs	Great Feather Dance
seˀ	after all, just
seˀahsaˀgeh	on your chest
sę:daˀ	you sleep
sędaˀdrah	you go to bed; you go to sleep
sędaǫ:	you are chosen, special, fortunate
sedehji:hah	early morning
sedehjihah niyǫdekǫ:niˀ	breakfast
sedehjihahne:hah	brunch time; mid-morning; early morning
sedrę:ni:yo:	you smell nice
sedręnowa:nęh	you have a big smell, odour, scent
sedwanoˀsęh	the Devil (literally: Our Uncle; because he is brother to the Creator)
sega:dǫ:	tell a story!
segahaˀgeh	on your eyes
segahanęhsgwahs	you steal a peek
segahę:dęˀ	drill!
segahehdaˀgeh	on your eyelashes
segahehdo:t	you have eyelashes
segahgwao:sˀageh	on your eyebrow
sega:nę:s	you are a licker; you are a brown-noser
sega:nę:t	you (singular) lick!
segawehaˀk	you used to paddle
se:gę:	you see
segeˀa:ˀ	you are raggedy
sege:dahs	you are scraping something right now
segehda:t	put it around your neck
segęhęnih	you abuse it, you are mean to it; you are an abuser
segęihstaˀ	you postpone it all the time; you move it all the time
segęˀsdaˀgeh	on your hairline, upper brow; forehead
se:ge:t	grate, scrape, file it!
sege:tsgoh	you raise something to a vertical position
sege:tsgwahs	you are lifting it to a vertical position; you give parties
segǫˀdro:we:k	you put the pillowcase on
segǫheˀktaˀ	what you use to hit with
segǫhe:s	you hit it all the time
segǫhsˀageh	on your face
segǫhsohai:	you wash its face
segowanęh	you are big
sehdega:ˀgeh	on your ribs
sehetgaˀaˀgeh	on your anus
sehna:tę:	you have dry skin
sehnyaˀsˀageh	on your neck (front of the neck)
sehsa:grahs	your mouth stinks
sęhsę:dǫh	you are tapping your foot
sehsę:no:nih	store it! put it away!
sehsęnowa:nęh	you are famous
sehshaǫ:t	you are tied up
sehshǫhneh	on your lower back
sehshǫhneh sehswęˀnageh ohsgyęˀdageh	backbone, spine
sęhsiˀdohae	wash your feet
sehsinˀageh	on your leg
sehsnaˀdageh	on your calf (of leg); on your outer thighs
sehsohdˀageh	on your hand
sehsǫhga:ˀgeh	on your upper lip
sehsǫhgˀwa:geh	on your lip
sehstoˀdręht	pluck!
sehswaˀne:t	you are supporting or backing them
sehsweˀnˀageh	on your upper back
sehtseˀdo:dęh	you put the bottle there
sejagaˀǫh	you have persevered
sejagaˀǫhne:ˀ	you have persevered
seja:gǫh	persevere! keep it up!
sejao:hoˀgwˀageh	on your ankle
sejaohoˀgwanǫhwa:s	you have a sore ankle
sejia:ohoˀgwaˀ	your ankle
sejiˀdę:daˀ	stop crying!
sejihoda:goh	you (singular)open it!
sejiho:dęh	you (singular) close it! 
sejiho:dęhs	you close it all the time
sejihsdahstwaht	dim the light
sejihsdo:dęh	turn on the light
sejihsgogwaˀgeh	on your hip
sekdǫ:	you examine it!
sekǫ:nih	cook
sekseˀdaˀgeh	on your belly
seksohaihǫ:	wash the dishes
sekwa:nǫ:t	feed!
senai:	you are proud
senę:tse:s	your arm is long
senhaˀtraˀ	you are an employee
senhehsoda:	you harness (an animal)
senho:dǫ:goh	open the door
senhoha:	close the door
senhohaˀe:k	knock on the door!
senhǫhdagǫ:	your underarm, armpit
seˀnhǫhdagrahs	your armpits smell
senhǫhsga:ˀgeh	on your inner thigh
sęnidagręh	you (singular) lie down!
sęˀnigǫhoˀdrǫh	you are a worrier
sęnihahsgǫ:	you are a habitual borrower
sęni:hę:	you (singular) quit!
sęni:hę: to:gyęh	quit that
sęnihnado:kaˀ	you are perceiving something right now
sęniˀjǫhsgwaę:	squat!
sęniˀjǫhsgwaę:dahk	you squatted
sęnijǫhsgwaęhęˀ	you squat all the time
sęniˀnyǫgri:	you wrinkle up your nose (in disgust)
sęni:tsgrǫ:dih	you (singular) spit!
sęnǫhdǫˀ	you know
sęnǫhdǫnyǫh	you are wondering, thinking
seˀno:shahs	you are envious
sęno:wę:	you are a liar
sęnyahaˀt	boil it!
senyędˀageh	on your shin
senyęˀdeˀ	you came for a purpose
sˀenyǫhsˀageh	on your nose
se:ǫ:ˀ	you wanted or believed
sesahehtso:goˀ	you got fooled (like the frog)
